type;question;answerA;answerB;answerC;answerD;correct
multiple;Czy zmienna środowiskowa jest widoczna we wszystkich sesjach użytkownika?;Tak, zawsze;Tylko po restarcie systemu;Nie, tylko w obrębie danej sesji i jej procesów potomnych;Tylko dla administratora;Nie, tylko w obrębie danej sesji i jej procesów potomnych
multiple;Dlaczego substytucje są wykonywane przed uruchomieniem polecenia?;Ponieważ wynik jest zapisywany do pliku;Ponieważ robi to jądro systemu;Ponieważ polecenie modyfikuje powłokę;Ponieważ powłoka musi przygotować ostateczną listę argumentów;Ponieważ powłoka musi przygotować ostateczną listę argumentów
multiple;Czym jest here-document (<<)?;Mechanizmem przekierowania stderr;Mechanizmem zapisu do pliku binarnego;Mechanizmem tworzenia potoku;Mechanizmem przekazywania wieloliniowego wejścia do polecenia;Mechanizmem przekazywania wieloliniowego wejścia do polecenia
multiple;Dlaczego kolejność przekierowań ma znaczenie?;Ponieważ zależą od systemu plików;Ponieważ są przetwarzane od lewej do prawej;Ponieważ są losowe;Ponieważ są wykonywane przez jądro;Ponieważ są przetwarzane od lewej do prawej
multiple;Czy zmienna środowiskowa może być nadpisana w procesie potomnym?;Tylko częściowo;Nie;Tak;Tylko dla root;Tak
multiple;Czy użytkownik bez prawa execute do katalogu może wejść do niego?;Tylko w trybie odczytu;Tak;Nie;Tylko jako root;Nie
multiple;Czym jest dystrybucja Linuxa?;Zestawem jądra oraz dobranego oprogramowania;Samym jądrem systemu;Środowiskiem graficznym;Systemem plików;Zestawem jądra oraz dobranego oprogramowania
multiple;Który plik startowy jest wykonywany globalnie dla powłoki logowania bash?;~/.bash_history;/etc/bashrc;/etc/profile;~/.bashrc;/etc/profile
multiple;Co oznacza zapis chmod 740 plik?;Tylko odczyt dla właściciela;Pełne prawa dla wszystkich użytkowników;Brak praw dla wszystkich;Pełne prawa dla właściciela, tylko odczyt dla grupy i brak praw dla pozostałych;Pełne prawa dla właściciela, tylko odczyt dla grupy i brak praw dla pozostałych
multiple;Który z plików użytkownika jest sprawdzany jako pierwszy przez bash przy logowaniu?;~/.bash_profile;~/.profile;~/.bashrc;~/.bash_logout;~/.bash_profile
multiple;Jaką wartość liczbową ma sticky bit w zapisie numerycznym?;4;8;1;2;1
multiple;Jakie nazwy są konwencjonalnie używane dla zmiennych środowiskowych?;Zawierające spacje;Pisane wielkimi literami;Zawsze małymi literami;Zawsze rozpoczynające się od cyfry;Pisane wielkimi literami
multiple;W jakim celu wykorzystuje się maszyny wirtualne do pracy z Linuxem?;Do tworzenia kopii zapasowych;Do kompilacji jądra;Do uruchamiania systemu bez instalacji na fizycznym sprzęcie;Do zwiększenia wydajności procesora;Do uruchamiania systemu bez instalacji na fizycznym sprzęcie
multiple;Czym jest zmienna SHELL?;Określa zmienną PATH;Określa identyfikator procesu;Zawiera nazwę bieżącego katalogu;Zawiera ścieżkę do powłoki logowania użytkownika;Zawiera ścieżkę do powłoki logowania użytkownika
multiple;Kim jest użytkownik root w systemie Linux?;Zwykłym użytkownikiem systemu;Administratorem systemu mogącym omijać standardowe mechanizmy kontroli dostępu;Właścicielem wszystkich plików;Członkiem każdej grupy;Administratorem systemu mogącym omijać standardowe mechanizmy kontroli dostępu
multiple;Która z poniższych NIE jest typową funkcjonalnością powłoki?;Bezpośrednie zarządzanie sprzętem komputerowym;Substytucje poleceń;Obsługa zmiennych;Przekierowania strumieni;Bezpośrednie zarządzanie sprzętem komputerowym
multiple;Czym jest ścieżka dostępu w systemie Linux?;Nazwą pliku;Typem praw dostępu;Identyfikatorem procesu;Sekwencją katalogów prowadzącą do pliku lub katalogu;Sekwencją katalogów prowadzącą do pliku lub katalogu
multiple;Jaka jest podstawowa różnica między wyrażeniami regularnymi a globbingiem?;Regex działa tylko w powłoce;Regex opisuje wzorce tekstowe, a globbing nazwy plików;Oba mechanizmy są identyczne;Globbing jest bardziej ogólny niż regex;Regex opisuje wzorce tekstowe, a globbing nazwy plików
multiple;Czego dotyczy substytucja nazw plików (globbing)?;Przekierowań strumieni;Sortowania danych;Zastępowania zmiennych środowiskowych;Dopasowywania wzorców do nazw plików;Dopasowywania wzorców do nazw plików
multiple;Do czego służy polecenie shift w skrypcie?;Kopiuje parametry;Przesuwa parametry pozycyjne w lewo;Sortuje argumenty;Usuwa wszystkie parametry;Przesuwa parametry pozycyjne w lewo
multiple;Jak zachowuje się rozmiar dowiązania symbolicznego w typowych systemach Linux?;Zawsze wynosi zero;Jest sumą rozmiarów plików;Odpowiada długości zapisanej ścieżki;Jest równy rozmiarowi pliku docelowego;Odpowiada długości zapisanej ścieżki
multiple;Czym jest standardowe wyjście błędów (stderr)?;Kopią stdout;Strumieniem przeznaczonym do komunikatów o błędach;Strumieniem danych wejściowych;Kanałem wyjścia programu;Strumieniem przeznaczonym do komunikatów o błędach
multiple;Dlaczego stosuje się nazwę GNU/Linux?;Ponieważ Linux jest częścią GNU;Ponieważ system łączy jądro Linux z narzędziami GNU;Ze względów marketingowych;Ponieważ GNU jest dystrybucją Linuxa;Ponieważ system łączy jądro Linux z narzędziami GNU
multiple;Która zmienna określa plik wykonywany przy starcie powłoki nieinteraktywnej?;HOME;PATH;SHELL;BASH_ENV;BASH_ENV
multiple;Co powoduje użycie polecenia unset?;Zapis zmiennej do pliku;Ustawienie zmiennej na wartość pustą;Usunięcie zmiennej;Eksport zmiennej;Usunięcie zmiennej
multiple;Czy zmiany zmiennych środowiskowych w procesie potomnym wpływają na proces macierzysty?;Tak;Nie;Tylko dla PATH;Tylko częściowo;Nie
multiple;Do czego służy polecenie ls?;Do kopiowania plików;Do zmiany katalogu;Do wyświetlania listy plików i katalogów;Do usuwania katalogów;Do wyświetlania listy plików i katalogów
multiple;Dlaczego filtry dobrze nadają się do łączenia w potokach?;Ponieważ modyfikują pliki bezpośrednio;Ponieważ operują na stdin i stdout;Ponieważ wymagają interakcji użytkownika;Ponieważ działają tylko pojedynczo;Ponieważ operują na stdin i stdout
multiple;Jaką rolę pełni standardowe wejście i wyjście w pracy filtrów?;Służą do przechowywania plików;Służą wyłącznie do obsługi klawiatury i ekranu;Umożliwiają przekazywanie danych pomiędzy poleceniami;Odpowiadają za zarządzanie procesami;Umożliwiają przekazywanie danych pomiędzy poleceniami
multiple;Który identyfikator procesu ma kluczowe znaczenie przy sprawdzaniu praw dostępu?;Rzeczywisty identyfikator użytkownika;Identyfikator katalogu;Identyfikator sesji;Efektywny identyfikator użytkownika;Efektywny identyfikator użytkownika
multiple;Dlaczego interfejs tekstowy bywa szybszy od graficznego?;Umożliwia bezpośrednie i precyzyjne wydawanie poleceń;Działa bez systemu plików;Nie wymaga znajomości poleceń;Nie korzysta z procesora;Umożliwia bezpośrednie i precyzyjne wydawanie poleceń
multiple;Dlaczego dodanie bieżącego katalogu (.) do PATH może być niebezpieczne?;Blokuje wykonywanie poleceń;Spowalnia działanie systemu;Usuwa zmienne środowiskowe;Może prowadzić do uruchomienia niepożądanego programu;Może prowadzić do uruchomienia niepożądanego programu
multiple;Która funkcja należy do podstawowych zadań systemu operacyjnego?;Tworzenie aplikacji użytkownika;Projektowanie sprzętu;Zarządzanie zasobami systemu komputerowego;Kompilacja kodu źródłowego;Zarządzanie zasobami systemu komputerowego
multiple;Na jakiej podstawie działa polecenie locate?;Na prawach dostępu;Na podstawie aktualnego katalogu;Na bazie indeksu plików;Na zawartości plików;Na bazie indeksu plików
multiple;Czym jest filtr w systemach Unix/Linux?;Programem modyfikującym pliki systemowe;Typem pliku wykonywalnego;Programem przetwarzającym dane wejściowe i zapisującym wynik na standardowe wyjście;Mechanizmem zarządzania procesami;Programem przetwarzającym dane wejściowe i zapisującym wynik na standardowe wyjście
multiple;W jakiej kolejności sed wykonuje polecenia?;Od końca do początku;Sekwencyjnie, w kolejności ich wystąpienia;Losowo;Równolegle;Sekwencyjnie, w kolejności ich wystąpienia
multiple;Czy pliki startowe są wykonywane przy każdym uruchomieniu polecenia bash?;Tylko dla administratora;Nie, zależy to od typu powłoki;Tylko w trybie graficznym;Tak, zawsze;Nie, zależy to od typu powłoki
multiple;Jak działa pętla until w bash?;Wykonuje polecenia tylko raz;Wykonuje polecenia aż warunek stanie się prawdziwy;Wykonuje polecenia dopóki warunek jest prawdziwy;Wykonuje polecenia losowo;Wykonuje polecenia aż warunek stanie się prawdziwy
multiple;Za rozwinięcie metaznaków związanych z substytucją nazw plików odpowiada:;Standardowa biblioteka wejścia/wyjścia;Powłoka;Jądro systemu;Polecenie;Powłoka
multiple;Dlaczego w zapisie [ warunek ] wymagane są spacje?;Ponieważ [ jest poleceniem wymagającym argumentów;Ponieważ spacje są ignorowane;Ponieważ wymagają tego prawa dostępu;Ponieważ jest to operator specjalny;Ponieważ [ jest poleceniem wymagającym argumentów
multiple;Kiedy wykonywane są substytucje w powłoce?;Po zakończeniu polecenia;W trakcie działania jądra;Po zapisaniu wyniku do pliku;Przed wykonaniem polecenia;Przed wykonaniem polecenia
multiple;Czym jest standardowe wyjście (stdout)?;Kanałem błędów;Domyślnym miejscem zapisu wyników programu;Plikiem tymczasowym;Kanałem komunikacji z jądrem;Domyślnym miejscem zapisu wyników programu
multiple;Czy ustawienia w plikach startowych mają wpływ na procesy potomne?;Nie, nigdy;Tak, jeśli dotyczą zmiennych środowiskowych;Tylko dla aliasów;Tylko w trybie graficznym;Tak, jeśli dotyczą zmiennych środowiskowych
multiple;Dlaczego ~/.bashrc jest często źródłowany w ~/.bash_profile?;Aby zapobiec uruchamianiu aliasów;Aby usunąć zmienne środowiskowe;Aby wspólna konfiguracja była dostępna także w powłoce logowania;Aby przyspieszyć działanie systemu;Aby wspólna konfiguracja była dostępna także w powłoce logowania
multiple;Co oznacza znak ? w globbingu?;Brak znaku;Dokładnie jeden dowolny znak;Dowolny ciąg znaków;Dowolną liczbę;Dokładnie jeden dowolny znak
multiple;Do czego służy polecenie mkdir?;Do tworzenia katalogów;Do zmiany praw dostępu;Do kopiowania katalogów;Do usuwania katalogów;Do tworzenia katalogów
multiple;Czym jest efektywny identyfikator użytkownika procesu?;Identyfikatorem maski umask;Identyfikatorem używanym przy sprawdzaniu praw dostępu;Identyfikatorem sesji;Identyfikatorem katalogu;Identyfikatorem używanym przy sprawdzaniu praw dostępu
multiple;Który element NIE wchodzi w skład procesu?;System plików;Struktury zarządzane przez system operacyjny;Kod programu;Dane programu;System plików
multiple;Która zmienna środowiskowa wskazuje katalog domowy użytkownika?;HOME;PWD;PATH;SHELL;HOME
multiple;Kiedy dane pliku są faktycznie usuwane z dysku?;Gdy użytkownik wykona polecenie rm;Natychmiast po zamknięciu pliku;Gdy zostanie usunięta jedna nazwa pliku;Gdy zniknie ostatnie dowiązanie i plik nie jest otwarty przez żaden proces;Gdy zniknie ostatnie dowiązanie i plik nie jest otwarty przez żaden proces
multiple;Dlaczego kolejność katalogów w PATH ma znaczenie?;Ponieważ katalogi są sortowane alfabetycznie;Ponieważ pierwszy znaleziony plik wykonywalny zostaje uruchomiony;Ponieważ wpływa na zmienne powłoki;Ponieważ wpływa na prawa dostępu;Ponieważ pierwszy znaleziony plik wykonywalny zostaje uruchomiony
multiple;Kiedy została opublikowana pierwsza wersja jądra Linux?;17 września 1991 roku;17 września 1989 roku;1 stycznia 1992 roku;1 stycznia 1990 roku;17 września 1991 roku
multiple;Czym różni się zmienna środowiskowa od zmiennej powłoki?;Jest zapisywana w pliku;Jest przekazywana do procesów potomnych;Ma zawsze wartość liczbową;Jest widoczna tylko lokalnie;Jest przekazywana do procesów potomnych
open;Do czego służy polecenie sed?;;;;;Strumieniowa edycja tekstu linia po linii (wyszukiwanie, zamiana, usuwanie, wybór linii)
multiple;Dlaczego rozróżnienie typów powłok jest istotne dla konfiguracji użytkownika?;Ponieważ decyduje, które pliki startowe zostaną wykonane;Ponieważ zmienia sposób działania jądra;Ponieważ decyduje o systemie plików;Ponieważ wpływa na prawa dostępu do plików;Ponieważ decyduje, które pliki startowe zostaną wykonane
multiple;Jak tworzy się zmienną powłoki w bash?;Tylko jako root;Używając polecenia export;Poprzez plik konfiguracyjny;Przypisując wartość bez spacji, np. VAR=wartość;Przypisując wartość bez spacji, np. VAR=wartość
multiple;Do czego służy polecenie umask?;Zmienia właściciela pliku;Określa domyślne prawa dostępu dla nowych plików;Usuwa prawa dostępu;Wyświetla prawa pliku;Określa domyślne prawa dostępu dla nowych plików
multiple;Co się stanie, gdy plik docelowy przekierowania nie istnieje?;Zostanie utworzony, jeśli pozwalają na to prawa;Powstanie błąd składni;Polecenie nie zostanie wykonane;System utworzy katalog;Zostanie utworzony, jeśli pozwalają na to prawa
multiple;Czym w systemie Linux jest i-node?;Zawartością pliku;Ścieżką bezwzględną do pliku;Nazwą pliku w katalogu;Strukturą przechowującą metadane pliku;Strukturą przechowującą metadane pliku
multiple;Dlaczego zapisy typu \d nie są przenośne w czystym POSIX regex?;Ponieważ są interpretowane przez powłokę;Ponieważ oznaczają dowolny znak;Ponieważ wymagają globbingu;Ponieważ nie są częścią standardu POSIX;Ponieważ nie są częścią standardu POSIX
multiple;Co oznacza operator * w wyrażeniach regularnych POSIX?;Zero lub więcej wystąpień elementu poprzedzającego;Co najmniej jedno wystąpienie;Dokładnie jedno wystąpienie;Dowolny znak;Zero lub więcej wystąpień elementu poprzedzającego
multiple;Co oznacza prompt wyświetlany przez powłokę?;Wyświetla listę procesów;Informuje o błędach systemowych;Informuje użytkownika o gotowości do przyjęcia polecenia;Pokazuje zawartość katalogu;Informuje użytkownika o gotowości do przyjęcia polecenia
multiple;Do czego służy test -d file?;Do sprawdzenia, czy file jest katalogiem;Do sprawdzenia, czy file istnieje;Do sprawdzenia praw zapisu;Do sprawdzenia, czy file jest pusty;Do sprawdzenia, czy file jest katalogiem
multiple;Czym jest system plików w Linuxie?;Hierarchiczną strukturą katalogów i plików;Płaską listą plików;Pojedynczym katalogiem;Zbiorem niezależnych partycji;Hierarchiczną strukturą katalogów i plików
multiple;Czym jest dowiązanie twarde (hard link)?;Skrótem do ścieżki pliku;Dodatkową nazwą wskazującą na ten sam i-node;Specjalnym plikiem systemowym;Kopią zawartości pliku;Dodatkową nazwą wskazującą na ten sam i-node
multiple;Czy zmienne środowiskowe mogą wpływać na działanie programów?;Tylko dla skryptów;Tylko dla programów systemowych;Nie, są ignorowane;Tak, często służą do ich konfiguracji;Tak, często służą do ich konfiguracji
multiple;Jak usunąć zmienną powłoki lub środowiskową?;Używając polecenia export;Używając polecenia rm;Używając polecenia delete;Używając polecenia unset;Używając polecenia unset
multiple;Co oznacza sticky bit ustawiony na katalogu?;Brak możliwości zapisu do katalogu;Ukrycie katalogu;Automatyczne dziedziczenie praw;Ograniczenie usuwania plików tylko do ich właścicieli lub osób z prawem modyfikacji;Ograniczenie usuwania plików tylko do ich właścicieli lub osób z prawem modyfikacji
multiple;Co wypisze polecenie echo w ciągu\n\ncd /tmp\nA=pwd\necho $A\n\n?;/home/student;error;/tmp;pwd;pwd
multiple;Dlaczego filtry dobrze nadają się do łączenia w potokach?;Ponieważ modyfikują pliki bezpośrednio;Ponieważ operują na stdin i stdout;Ponieważ wymagają interakcji użytkownika;Ponieważ działają tylko pojedynczo;Ponieważ operują na stdin i stdout
multiple;Jaką rolę pełni standardowe wejście i wyjście w pracy filtrów?;Służą do przechowywania plików;Służą wyłącznie do obsługi klawiatury i ekranu;Umożliwiają przekazywanie danych pomiędzy poleceniami;Odpowiadają za zarządzanie procesami;Umożliwiają przekazywanie danych pomiędzy poleceniami
multiple;Jaki będzie efekt ciągu\n\ncd\nA=pwd\ncd /etc\ncp /tmp/a.txt $A\n\n?;Kopiowanie do /etc z zachowaniem nazwy;Do katalogu domowego skopiowany zostanie plik /tmp/a.txt;Kopiowanie do bieżącego jako pwd;Błąd cp;Do katalogu domowego skopiowany zostanie plik /tmp/a.txt
multiple;Który identyfikator procesu ma kluczowe znaczenie przy sprawdzaniu praw dostępu?;Rzeczywisty identyfikator użytkownika;Identyfikator katalogu;Identyfikator sesji;Efektywny identyfikator użytkownika;Efektywny identyfikator użytkownika
multiple;Co zawiera zmienna $* w skrypcie?;Wszystkie parametry przekazane do skryptu;Tylko pierwszy parametr;Kod zakończenia;Liczbę parametrów;Wszystkie parametry przekazane do skryptu
multiple;Co oznacza użycie polecenia tail -f?;Sortowanie zawartości pliku;Ciągłe wyświetlanie danych dopisywanych na końcu pliku;Wyświetlenie pierwszych linii pliku;Jednorazowe wyświetlenie końca pliku;Ciągłe wyświetlanie danych dopisywanych na końcu pliku
multiple;Dlaczego rozróżnienie typów powłok jest istotne dla konfiguracji użytkownika?;Ponieważ decyduje, które pliki startowe zostaną wykonane;Ponieważ zmienia sposób działania jądra;Ponieważ decyduje o systemie plików;Ponieważ wpływa na prawa dostępu do plików;Ponieważ decyduje, które pliki startowe zostaną wykonane
multiple;Dlaczego poprawne kotwiczenie wzorca ($^$ i $$) jest istotne?;Zapobiega niezamierzonym dopasowaniom fragmentów wiersza;Zmienia prawa dostępu;Przyspiesza działanie jądra;Umożliwia globbing;Zapobiega niezamierzonym dopasowaniom fragmentów wiersza
multiple;Co oznacza zapis 2>&1?;Przekierowanie stdout do stderr;Przekierowanie stderr do tego samego miejsca co stdout;Przekierowanie stdin do stdout;Zamknięcie deskryptora 2;Przekierowanie stderr do tego samego miejsca co stdout
multiple;Czym jest skrypt powłoki w systemie Linux?;Specjalnym typem pliku binarnego;Procesem systemowym;Programem skompilowanym do kodu maszynowego;Plikiem tekstowym zawierającym polecenia interpretowane przez powłokę;Plikiem tekstowym zawierającym polecenia interpretowane przez powłokę
multiple;Do czego służy polecenie wc?;Do kopiowania plików;Do zliczania linii, słów i znaków;Do sortowania danych;Do edycji tekstu;Do zliczania linii, słów i znaków
multiple;Kim jest właściciel pliku w systemie Linux?;Każdy użytkownik mający do niego dostęp;Zawsze administrator systemu;Grupa użytkowników;Użytkownik, który utworzył plik lub został do niego przypisany;Użytkownik, który utworzył plik lub został do niego przypisany
multiple;Aby w dowolnym programie (skrypcie) komunikaty o błędach były wypisywane poprzez strumień stderr należy;zdefiniować zmienną środowiskową ERROR_STREAM=stderr;wykorzystywać specjalne polecenia lub realizować odpowiednie przekierowanie strumienia;tylko jądro systemu może wypisywać dane poprzez stderr;każda informacja o błędzie automatycznie wypisywana jest przez stderr;wykorzystywać specjalne polecenia lub realizować odpowiednie przekierowanie strumienia
multiple;W jakiej kolejności przeszukiwane są katalogi zdefiniowane w PATH?;Od lewej do prawej;Od prawej do lewej;Losowo;Zależnie od systemu plików;Od lewej do prawej
multiple;Które polecenie wyświetla tylko zmienne środowiskowe?;printenv;export;set;Unset;printenv
multiple;Czy dystrybucje Linuxa mogą być komercyjne?;Tak, ale jądro pozostaje wolne;Tak, wraz z zamkniętym jądrem;Tylko dystrybucje serwerowe;Nie, wszystkie są darmowe;Tak, ale jądro pozostaje wolne
multiple;Dlaczego użytkownicy GNU korzystają z jądra Linux?;Ponieważ oficjalne jądro GNU jest niekompletne;Ponieważ Linux jest płatny;Ponieważ Linux jest systemem zamkniętym;Ponieważ GNU nie posiada narzędzi;Ponieważ oficjalne jądro GNU jest niekompletne
multiple;Co oznacza prawo odczytu dla katalogu?;Możliwość wejścia do katalogu;Możliwość usuwania plików;Możliwość zmiany właściciela;Możliwość wylistowania jego zawartości;Możliwość wylistowania jego zawartości
multiple;Czym jest zmienna PWD?;Określa powłokę użytkownika;Zawiera katalog domowy;Zawiera ścieżkę bieżącego katalogu roboczego;Określa katalog systemowy;Zawiera ścieżkę bieżącego katalogu roboczego
multiple;Jak przekazać stderr do potoku razem ze stdout?;Używając operatora <<;Przekierowując stderr na stdout przed potokiem;Używając operatora <;Używając tylko |;Przekierowując stderr na stdout przed potokiem
multiple;Do czego służy bit SUID?;Do wykonywania programu z prawami jego właściciela;Do ustawiania praw katalogu;Do zmiany właściciela pliku;Do blokowania dostępu do pliku;Do wykonywania programu z prawami jego właściciela
multiple;Czym charakteryzuje się polecenie find?;Działa wyłącznie na nazwach plików;Przeszukuje aktualny stan systemu plików;Korzysta wyłącznie z indeksu;Wyszukuje tylko w katalogu domowym;Przeszukuje aktualny stan systemu plików
